A,20131014,0.2828,0.2829,0.2828,1621,6646,57680,59456
AA,20131014,0.2494,0.2939,0.2716,9898,4733,648356,429427
AAMRQ,20131014,0,0,0,0,0,5293,972
AAN,20131014,0.4444,0.4695,0.457,0,13,756,307
AAON,20131014,0,0,0,0,0,409,1585
AAP,20131014,0.2877,0.3025,0.2951,1097,42,16923,8441
AAPL,20131014,0.2857,0.3183,0.302,211311,122131,1929611,1110236
AAT,20131014,0.3485,0.4142,0.3814,0,0,3,8
AAU,20131014,0,0,0,0,0,1019,281
AAV,20131014,0.6046,0.5562,0.5804,17,12,3317,360
AAWW,20131014,0.3945,0.3863,0.3904,10,15,1785,873
AAXJ,20131014,0.2075,0.2205,0.214,40,3,21960,289
AB,20131014,0.3226,0.4992,0.4109,97,95,6703,3172
ABAX,20131014,0.5482,0.5624,0.5553,0,0,2747,1106
ABB,20131014,0.2418,0.2612,0.2515,138,7,14609,3606
ABBV,20131014,0.2668,0.2804,0.2736,825,449,84351,43780
ABC,20131014,0.2334,0.26,0.2467,332,110,12343,9462
ABCB,20131014,2.3891,2.4061,2.3976,0,0,0,20
ABCO,20131014,0.316,0.3714,0.3437,10,20,218,1137
ABFS,20131014,0.6742,0.6791,0.6766,233,83,14549,7992
ABG,20131014,0.4363,0.4429,0.4396,0,2,2520,2733
ABM,20131014,0.4034,0.4744,0.4389,7,0,120,121
ABMD,20131014,0.6876,0.662,0.6748,12,22,2007,3126
ABR,20131014,0.8207,0.982,0.9014,16,8,413,238
ABT,20131014,0.0316,0.031,0.0313,2379,3692,105730,82114
ABV,20131014,0.2824,0.2926,0.2875,271,31,23985,8803
ABX,20131014,0.4676,0.457,0.4623,15658,9347,1490185,733381
ACAD,20131014,0.8915,0.8869,0.8892,5944,3773,204731,39060
ACAS,20131014,0.2804,0.2903,0.2853,347,51,65701,24703
ACAT,20131014,0.4186,0.4192,0.4189,37,29,538,902
ACC,20131014,0.2595,0.344,0.3017,81,10,1532,931
ACCL,20131014,0.5521,0.5776,0.5648,0,0,273,10
ACCO,20131014,0.5498,0.9744,0.7621,31,0,1009,219
ACE,20131014,0.1865,0.1879,0.1872,334,21,12609,11541
ACET,20131014,0.4458,0.4772,0.4615,73,0,1587,634
ACFN,20131014,1.4189,1.6328,1.5258,130,0,2006,308
ACGL,20131014,0.2057,0.3041,0.2549,0,7,407,566
ACH,20131014,0.4196,0.4493,0.4345,15,0,3213,1524
ACHC,20131014,0.4316,0.4345,0.4331,14,0,2779,738
ACHN,20131014,1.206,1.0354,1.1207,2944,11070,270317,67071
ACI,20131014,0.7049,0.6789,0.6919,5449,2052,208411,151813
ACIW,20131014,0.3776,0.4657,0.4216,0,500,2162,1402
ACLS,20131014,0,0,0,245,5,16588,184
ACM,20131014,0.3748,0.4084,0.3916,0,0,1596,458
ACMP,20131014,0.2489,0.3093,0.2791,0,22,1042,1335
ACN,20131014,0.1954,0.1976,0.1965,622,667,64470,56213
ACO,20131014,0.4259,0.4562,0.441,60,0,127,25
ACOR,20131014,1.0836,0.5802,0.8319,37,25,1539,1210
ACPW,20131014,0,0,0,0,0,96,0
ACRE,20131014,0.5757,0.5157,0.5457,0,50,1317,4001
ACRX,20131014,1.2539,1.1372,1.1956,233,126,5960,1224
ACT,20131014,0.2796,0.2758,0.2777,467,476,71525,45496
ACTG,20131014,0.5385,0.6088,0.5736,576,131,9110,14353
ACTV,20131014,0.2501,0.2927,0.2714,30,0,3527,4855
ACUR,20131014,0,0,0,0,0,3840,692
ACW,20131014,0.9919,0.9234,0.9577,0,10,262,252
ACWI,20131014,0.1466,0.1586,0.1526,1,1,196,182
ACWV,20131014,0.156,0.1625,0.1592,0,0,0,0
ACWX,20131014,0.1538,0.1708,0.1623,0,0,3,0
ACXM,20131014,0.4321,0.6936,0.5628,283,893,8006,1608
ADBE,20131014,0.2298,0.2274,0.2286,4815,2335,75589,51983
ADC,20131014,0.3899,0.4138,0.4019,0,0,183,31
ADEP,20131014,0.971,0.9631,0.967,23,21,301,114
ADES,20131014,0.6924,0.7401,0.7163,396,0,6407,2633
ADI,20131014,0.202,0.203,0.2025,184,212,23303,25094
ADK,20131014,0,0,0,0,0,20,0
ADM,20131014,0.2904,0.3142,0.3023,800,2270,181173,132060
ADNC,20131014,0.9167,0.8326,0.8746,0,0,5521,235
ADP,20131014,0.1638,0.1667,0.1652,273,209,18434,17382
ADS,20131014,0.2521,0.2507,0.2514,156,203,3190,15781
ADSK,20131014,0.0385,0.0391,0.0388,3719,1852,151208,78375
ADT,20131014,0.3087,0.3316,0.3202,752,435,150431,126285
ADTN,20131014,0.3641,0.3981,0.3811,874,300,9062,6607
ADVS,20131014,0.4193,0.4631,0.4412,5,0,1479,2917
AEC,20131014,0.2717,0.3589,0.3153,0,10,418,593
AEE,20131014,0.2058,0.2421,0.224,21,0,1911,2840
AEG,20131014,0.4514,0.5138,0.4826,55,0,2972,1843
AEGN,20131014,0.5543,1.4831,1.0187,0,10,528,393
AEGR,20131014,0.8571,0.8579,0.8575,1004,358,34059,28143
AEIS,20131014,0.507,0.5071,0.507,100,0,1696,335
AEL,20131014,0.3726,0.3943,0.3835,75,20,673,1123
AEM,20131014,0.5242,0.5158,0.52,1264,244,85447,38802
AEO,20131014,0.3621,0.3673,0.3647,615,244,76046,26058
AEP,20131014,0.1554,0.22,0.1877,233,217,32478,23549
AER,20131014,0.2661,0.2597,0.2629,6,0,3776,718
AES,20131014,0.277,0.3085,0.2927,124,144,10304,5398
AET,20131014,0.0239,0.2735,0.2723,416,349,58618,37904
AF,20131014,0.3571,0.5842,0.4707,212,0,4621,255
AFAM,20131014,0.3199,0.3698,0.3448,6,0,533,3379
AFCE,20131014,0.3756,0.3668,0.3712,15,0,1011,1596
AFFX,20131014,1.1025,1.2364,1.1695,10,595,4811,9182
AFFY,20131014,2.6851,2.5412,2.6131,0,0,70652,12758
AFG,20131014,0.2534,0.6212,0.4373,0,0,168,75
AFL,20131014,0.1967,0.2034,0.2,1413,992,66086,56933
AFOP,20131014,1.0824,1.0473,1.0649,61,51,564,102
AFSI,20131014,0.5267,0.5788,0.5528,124,997,13020,33626
AG,20131014,0.694,0.6808,0.6874,515,494,41713,10277
AGCO,20131014,0.2676,0.3157,0.2917,130,420,9170,8909
AGEN,20131014,1.6726,1.6174,1.645,9,10,4446,758
AGG,20131014,0.0466,0.0625,0.0545,0,0,7,193
AGI,20131014,0.9583,0.8217,0.89,0,0,288,260
AGII,20131014,0,0,0,0,0,157,321
AGM,20131014,0.4122,0.3868,0.3995,0,0,639,617
AGN,20131014,0.2779,0.2722,0.2751,314,246,40630,31438
AGNC,20131014,0.2667,0.2607,0.2637,4116,3530,136365,139037
